Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
0.722929	2	1	0	1	64.1487
0.723929	2	1	0	0	64.1034
0.723929	2	1	0	1	64.1487
0.724929	2	1	0	0	64.1034
0.724929	2	1	0	1	64.1487
0.725929	2	1	0	0	64.1034
0.725929	2	1	0	1	64.1487
0.726929	2	1	0	0	64.1034
0.726929	2	1	0	1	64.1487
0.727929	2	1	0	0	64.1034
0.727929	2	1	0	1	64.1487
0.728929	2	1	0	0	64.1034
0.728929	2	1	0	1	64.1487
0.729929	2	1	0	0	64.1034
0.729929	2	1	0	1	64.1487
0.730929	2	1	0	0	64.1034
0.730929	2	1	0	1	64.1487
0.731929	2	1	0	0	64.1034
0.731929	2	1	0	1	64.1487
0.732929	2	1	0	0	64.1034
0.732929	2	1	0	1	64.1487
0.733929	2	1	0	0	64.1034
0.733929	2	1	0	1	64.1487
0.734929	2	1	0	0	64.1034
0.734929	2	1	0	1	64.1487
0.735929	2	1	0	0	64.1034
0.735929	2	1	0	1	64.1487
0.736929	2	1	0	0	64.1034
0.736929	2	1	0	1	64.1487
0.737929	2	1	0	0	64.1034
0.737929	2	1	0	1	64.1487
0.738929	2	1	0	0	64.1034
0.738929	2	1	0	1	64.1487
0.739929	2	1	0	0	64.1034
0.739929	2	1	0	1	64.1487
0.740929	2	1	0	0	64.1034
0.740929	2	1	0	1	64.1487
0.741929	2	1	0	0	64.1034
0.741929	2	1	0	1	64.1487
0.742929	2	1	0	0	64.1034
0.742929	2	1	0	1	64.1487
0.743929	2	1	0	0	64.1034
0.743929	2	1	0	1	64.1487
0.744929	2	1	0	0	64.1034
0.744929	2	1	0	1	64.1487
0.745929	2	1	0	0	64.1034
0.745929	2	1	0	1	64.1487
0.746929	2	1	0	0	64.1034
0.746929	2	1	0	1	64.1487
0.747929	2	1	0	0	64.1034
0.747929	2	1	0	1	64.1487
0.748929	2	1	0	0	64.1034
0.748929	2	1	0	1	64.1487
0.749929	2	1	0	0	64.1034
0.749929	2	1	0	1	64.1487
0.750929	2	1	0	0	64.1034
0.750929	2	1	0	1	64.1487
0.751929	2	1	0	0	64.1034
0.751929	2	1	0	1	64.1487
0.752929	2	1	0	0	64.1034
0.752929	2	1	0	1	64.1487
0.753929	2	1	0	0	64.1034
0.753929	2	1	0	1	64.1487
0.754929	2	1	0	0	64.1034
0.754929	2	1	0	1	64.1487
0.755929	2	1	0	0	64.1034
0.755929	2	1	0	1	64.1487
0.756929	2	1	0	0	64.1034
0.756929	2	1	0	1	64.1487
0.757929	2	1	0	0	64.1034
0.757929	2	1	0	1	64.1487
0.758929	2	1	0	0	64.1034
0.758929	2	1	0	1	64.1487
0.759929	2	1	0	0	64.1034
0.759929	2	1	0	1	64.1487
0.760929	2	1	0	0	64.1034
0.760929	2	1	0	1	64.1487
0.761929	2	1	0	0	64.1034
0.761929	2	1	0	1	64.1487
0.762929	2	1	0	0	64.1034
0.762929	2	1	0	1	64.1487
0.763929	2	1	0	0	64.1034
0.763929	2	1	0	1	64.1487
0.764929	2	1	0	0	64.1034
0.764929	2	1	0	1	64.1487
0.765929	2	1	0	0	64.1034
0.765929	2	1	0	1	64.1487
0.766929	2	1	0	0	64.1034
0.766929	2	1	0	1	64.1487
0.767929	2	1	0	0	64.1034
0.767929	2	1	0	1	64.1487
0.768929	2	1	0	0	64.1034
0.768929	2	1	0	1	64.1487
0.769929	2	1	0	0	64.1034
0.769929	2	1	0	1	64.1487
0.770929	2	1	0	0	64.1034
0.770929	2	1	0	1	64.1487
0.771929	2	1	0	0	64.1034
0.771929	2	1	0	1	64.1487
0.772929	2	1	0	0	64.1034
0.772929	2	1	0	1	64.1487
0.773929	2	1	0	0	64.1034
0.773929	2	1	0	1	64.1487
0.774929	2	1	0	0	64.1034
0.774929	2	1	0	1	64.1487
0.775929	2	1	0	0	64.1034
0.775929	2	1	0	1	64.1487
0.776929	2	1	0	0	64.1034
0.776929	2	1	0	1	64.1487
0.777929	2	1	0	0	64.1034
0.777929	2	1	0	1	64.1487
0.778929	2	1	0	0	64.1034
0.778929	2	1	0	1	64.1487
0.779929	2	1	0	0	64.1034
0.779929	2	1	0	1	64.1487
0.780929	2	1	0	0	64.1034
0.780929	2	1	0	1	64.1487
0.781929	2	1	0	0	64.1034
0.781929	2	1	0	1	64.1487
0.782929	2	1	0	0	64.1034
0.782929	2	1	0	1	64.1487
0.783929	2	1	0	0	64.1034
0.783929	2	1	0	1	64.1487
0.784929	2	1	0	0	64.1034
0.784929	2	1	0	1	64.1487
0.785929	2	1	0	0	64.1034
0.785929	2	1	0	1	64.1487
0.786929	2	1	0	0	64.1034
0.786929	2	1	0	1	64.1487
0.787929	2	1	0	0	64.1034
0.787929	2	1	0	1	64.1487
0.788929	2	1	0	0	64.1034
0.788929	2	1	0	1	64.1487
0.789929	2	1	0	0	64.1034
0.789929	2	1	0	1	64.1487
0.790929	2	1	0	0	64.1034
0.790929	2	1	0	1	64.1487
0.791929	2	1	0	0	64.1034
0.791929	2	1	0	1	64.1487
0.792929	2	1	0	0	64.1034
0.792929	2	1	0	1	64.1487
0.793929	2	1	0	0	64.1034
0.793929	2	1	0	1	64.1487
0.794929	2	1	0	0	64.1034
0.794929	2	1	0	1	64.1487
0.795929	2	1	0	0	64.1034
0.795929	2	1	0	1	64.1487
0.796929	2	1	0	0	64.1034
0.796929	2	1	0	1	64.1487
0.797929	2	1	0	0	64.1034
0.797929	2	1	0	1	64.1487
0.798857	2	1	0	0	64.1034
0.798857	2	1	0	1	64.1487
0.799929	2	1	0	0	64.1034
0.799929	2	1	0	1	64.1487
0.800929	2	1	0	0	64.1034
0.800929	2	1	0	1	64.1487
0.801929	2	1	0	0	64.1034
0.801929	2	1	0	1	64.1487
0.802929	2	1	0	0	64.1034
0.802929	2	1	0	1	64.1487
0.803929	2	1	0	0	64.1034
0.803929	2	1	0	1	64.1487
0.804929	2	1	0	0	64.1034
0.804929	2	1	0	1	64.1487
0.805929	2	1	0	0	64.1034
0.805929	2	1	0	1	64.1487
0.806929	2	1	0	0	64.1034
0.806929	2	1	0	1	64.1487
0.807929	2	1	0	0	64.1034
0.807929	2	1	0	1	64.1487
0.808929	2	1	0	0	64.1034
0.808929	2	1	0	1	64.1487
0.809929	2	1	0	0	64.1034
0.809929	2	1	0	1	64.1487
0.810929	2	1	0	0	64.1034
0.810929	2	1	0	1	64.1487
0.811929	2	1	0	0	64.1034
0.811929	2	1	0	1	64.1487
0.812929	2	1	0	0	64.1034
0.812929	2	1	0	1	64.1487
0.813929	2	1	0	0	64.1034
0.813929	2	1	0	1	64.1487
0.814929	2	1	0	0	64.1034
0.814929	2	1	0	1	64.1487
0.815929	2	1	0	0	64.1034
0.815929	2	1	0	1	64.1487
0.816929	2	1	0	0	64.1034
0.816929	2	1	0	1	64.1487
0.817929	2	1	0	0	63.6415
0.817929	2	1	0	1	63.3547
0.818929	2	1	0	0	63.6415
0.818929	2	1	0	1	63.3547
0.819929	2	1	0	0	63.6415
0.819929	2	1	0	1	63.3547
0.820929	2	1	0	0	63.6415
0.820929	2	1	0	1	63.3547
0.821929	2	1	0	0	63.6415
